,string_id,string,document_id,start_index,end_index,capitalized,prefixed,suffixed,class_label
0,0,Excited,0_Mashable_m.txt,0,1,1,0,0,0
1,1,Excited for,0_Mashable_m.txt,0,2,1,0,0,0
2,2,Excited for Black,0_Mashable_m.txt,0,3,1,0,0,0
3,3,Excited for Black Panther,0_Mashable_m.txt,0,4,1,0,0,0
4,4,for,0_Mashable_m.txt,1,2,1,0,0,0
5,5,for Black,0_Mashable_m.txt,1,3,1,0,0,0
6,6,for Black Panther,0_Mashable_m.txt,1,4,1,0,0,0
7,7,for Black Panther ?,0_Mashable_m.txt,1,5,1,0,0,0
8,8,Black,0_Mashable_m.txt,2,3,1,0,0,0
9,9,Black Panther,0_Mashable_m.txt,2,4,1,0,0,0
10,10,Black Panther ?,0_Mashable_m.txt,2,5,1,0,0,0
11,11,Black Panther ? So,0_Mashable_m.txt,2,6,1,0,0,0
12,12,Panther,0_Mashable_m.txt,3,4,1,0,0,0
13,13,Panther ?,0_Mashable_m.txt,3,5,1,0,0,0
14,14,Panther ? So,0_Mashable_m.txt,3,6,1,0,0,0
15,15,Panther ? So are,0_Mashable_m.txt,3,7,1,0,0,0
16,16,?,0_Mashable_m.txt,4,5,1,0,0,0
17,17,? So,0_Mashable_m.txt,4,6,1,0,0,0
18,18,? So are,0_Mashable_m.txt,4,7,1,0,0,0
19,19,? So are we,0_Mashable_m.txt,4,8,1,0,0,0
20,20,So,0_Mashable_m.txt,5,6,1,0,0,0
21,21,So are,0_Mashable_m.txt,5,7,1,0,0,0
22,22,So are we,0_Mashable_m.txt,5,8,1,0,0,0
23,23,So are we .,0_Mashable_m.txt,5,9,1,0,0,0
24,24,are,0_Mashable_m.txt,6,7,1,0,0,0
25,25,are we,0_Mashable_m.txt,6,8,1,0,0,0
26,26,are we .,0_Mashable_m.txt,6,9,1,0,0,0
27,27,are we . Which,0_Mashable_m.txt,6,10,1,0,0,0
28,28,we,0_Mashable_m.txt,7,8,1,0,0,0
29,29,we .,0_Mashable_m.txt,7,9,1,0,0,0
30,30,we . Which,0_Mashable_m.txt,7,10,1,0,0,0
31,31,we . Which is,0_Mashable_m.txt,7,11,1,0,0,0
32,32,.,0_Mashable_m.txt,8,9,1,0,0,0
33,33,. Which,0_Mashable_m.txt,8,10,1,0,0,0
34,34,. Which is,0_Mashable_m.txt,8,11,1,0,0,0
35,35,. Which is why,0_Mashable_m.txt,8,12,1,0,0,0
36,36,Which,0_Mashable_m.txt,9,10,1,0,0,0
37,37,Which is,0_Mashable_m.txt,9,11,1,0,0,0
38,38,Which is why,0_Mashable_m.txt,9,12,1,0,0,0
39,39,Which is why we're,0_Mashable_m.txt,9,13,1,0,0,0
40,40,is,0_Mashable_m.txt,10,11,1,0,0,0
41,41,is why,0_Mashable_m.txt,10,12,1,0,0,0
42,42,is why we're,0_Mashable_m.txt,10,13,1,0,0,0
43,43,is why we're rolling,0_Mashable_m.txt,10,14,1,0,0,0
44,44,why,0_Mashable_m.txt,11,12,1,0,0,0
45,45,why we're,0_Mashable_m.txt,11,13,1,0,0,0
46,46,why we're rolling,0_Mashable_m.txt,11,14,1,0,0,0
47,47,why we're rolling out,0_Mashable_m.txt,11,15,1,0,0,0
48,48,we're,0_Mashable_m.txt,12,13,1,0,0,0
49,49,we're rolling,0_Mashable_m.txt,12,14,1,0,0,0
50,50,we're rolling out,0_Mashable_m.txt,12,15,1,0,0,0
51,51,we're rolling out obsessive,0_Mashable_m.txt,12,16,1,0,0,0
52,52,rolling,0_Mashable_m.txt,13,14,1,0,0,0
53,53,rolling out,0_Mashable_m.txt,13,15,1,0,0,0
54,54,rolling out obsessive,0_Mashable_m.txt,13,16,1,0,0,0
55,55,rolling out obsessive coverage,0_Mashable_m.txt,13,17,1,0,0,0
56,56,out,0_Mashable_m.txt,14,15,1,0,0,0
57,57,out obsessive,0_Mashable_m.txt,14,16,1,0,0,0
58,58,out obsessive coverage,0_Mashable_m.txt,14,17,1,0,0,0
