Title|User Score|Director|Screenplay|Top Billed Cast|Release Date|Content Rating|Genres|Keywords|Revenue|Original Language|Runtime|Budget|Homepage
Capricorn One|64.0|Peter Hyams|Peter Hyams|Elliott Gould,James Brolin,Brenda Vaccaro,Sam Waterston,O.J. Simpson|1977|100|Drama,Action,Thriller,Science Fiction|helicopter,nasa,texas,spacecraft,beguilement,crop duster,conspiracy,escape,astronaut,desert,mission to mars,investigative reporter,launchpad|-|English|2h 3m|$5,000,000.00|-
The Day After Tomorrow|62.0|Roland Emmerich||Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,Dash Mihok,Jay O. Sanders|2004|100|Action,Adventure,Science Fiction,Thriller|saving the world,library,cataclysm,climate change,greenhouse effect,tornado,twister,hurricane,hail,temperature drop,ice age,polar zone,meteorology,gulfstream,barrier ice,ice melting,third world,exodus,evacuation,climate,government,snow,los angeles,scientist,doomsday,antarctic,disaster movie|$544,272,402.00|English|2h 4m|$125,000,000.00|http://www.thedayaftertomorrow.com/
Stigmata|59.0|Rupert Wainwright|Rick Ramage,Tom Lazarus|Patricia Arquette,Gabriel Byrne,Jonathan Pryce,Nia Long,Thomas Kopache|1999|100|Horror|vatican,miracle,christian,faith,clergyman,atheist|$50,041,732.00|English|1h 43m|$29,000,000.00|-
She's Out of My League|60.0|Jim Field Smith|John Morris,Sean Anders|Jay Baruchel,Alice Eve,Mike Vogel,Krysten Ritter,Debra Jo Rupp|2010|100|Comedy,Romance|confidence,romantic comedy,dating,insecurity,airport security,unlikely lovers,twenty something,duringcreditsstinger|$49,779,728.00|English|1h 44m|$20,000,000.00|http://www.getyourrating.com/
Diary of a Wimpy Kid: Dog Days|60.0|David Bowers|Jeff Judah,Gabe Sachs|Zachary Gordon,Robert Capron,Devon Bostick,Rachael Harris,Steve Zahn|2012|100|Comedy,Family|best friend,summer,based on children's book,sweet sixteen,duringcreditsstinger,pool party|-|English|1h 34m|$10,000,000.00|-
Lara Croft: Tomb Raider|57.0|Simon West|John Zinman,Patrick Massett|Angelina Jolie,Jon Voight,Iain Glen,Noah Taylor,Daniel Craig|2001|100|Adventure,Fantasy,Action,Thriller|treasure,buddhist monk,planetary configuration,angkor wat,illuminati,william blake,treasure hunt,archaeologist,based on video game,archeology |$274,703,340.00|English|1h 40m|$115,000,000.00|-
Justice League|64.0|Zack Snyder|Joss Whedon|Ben Affleck,Henry Cavill,Gal Gadot,Ezra Miller,Jason Momoa|2017|100|Action,Adventure,Fantasy,Science Fiction|dc comics,superhero,based on comic,super power,superhero team,aftercreditsstinger,duringcreditsstinger,dc extended universe|$655,894,816.00|English|2h 0m|$500,000,000.00|http://www.justiceleaguethemovie.com
R.I.P.D.|54.0|Robert Schwentke|Matt Manfredi,Phil Hay|Jeff Bridges,Ryan Reynolds,Kevin Bacon,Stephanie Szostak,Mary-Louise Parker|2013|100|Fantasy,Action,Comedy,Crime|detective,gold,wife,police operation,investigation,partner,love,revenge,undead,crime,death,husband,ghost,police department|$61,648,500.00|English|1h 36m|$130,000,000.00|http://www.ripd.com/
The Florida Project|76.0|Sean Baker||Willem Dafoe,Brooklynn Prince,Bria Vinaite,Valeria Cotto,Christopher Rivera|2017|100|Drama|women,parent child relationship,florida,drug addiction,motel,friendship,children,drug use,child,walt disney world,orlando,peer relationship,mother daughter relationship|$5,672,618.00|English|1h 51m|$2,000,000.00|-
Belle de Jour|74.0|Luis Buñuel|Luis Buñuel,Jean-Claude Carrière|Catherine Deneuve,Michel Piccoli,Jean Sorel,Geneviève Page,Pierre Clémenti|1967|100|Drama,Romance|prostitute,adultery,double life,dual identity,jealousy,wife husband relationship,brothel,dream,women's sexual identity,fantasy,masochism,independent film|-|French|1h 41m|-|-
Tom at the Farm|69.0|Xavier Dolan|Xavier Dolan,Michel Marc Bouchard|Xavier Dolan,Pierre-Yves Cardinal,Lise Roy,Evelyne Brochu,Manuel Tadros|2013|100|Drama,Thriller|gay,homophobia,psychopath,homosexuality,gay relationship,gay interest,in the closet,crime,criminal,gay man,homophobe,lgbt,sadistic psychopath,homophobic,male psychopath|-|French|1h 45m|-|-
Casino Royale|54.0|Ken Hughes,Joseph McGrath,Val Guest,Robert Parrish,John Huston|Michael Sayers,John Law,Wolf Mankowitz|David Niven,Peter Sellers,Ursula Andress,Orson Welles,Joanna Pettet|1967|100|Adventure,Action,Comedy|scotland,casino,queen,intelligence,stutter|$41,744,718.00|English|2h 11m|$12,000,000.00|-
