,_id,ltable_id,rtable_id,ltable_title,ltable_cast,ltable_directors,ltable_writers,ltable_genres,ltable_keywords,ltable_content_rating,ltable_languages,ltable_budget,ltable_revenue,ltable_opening_weekend_revenue,ltable_production_companies,ltable_production_countries,ltable_alternative_titles,rtable_title,rtable_cast,rtable_directors,rtable_writers,rtable_genres,rtable_keywords,rtable_content_rating,rtable_languages,rtable_budget,rtable_revenue,rtable_opening_weekend_revenue,rtable_production_companies,rtable_production_countries,rtable_alternative_titles
0,0,a372,b4949,Star Wars: Episode III - Revenge of the Sith,Ewan McGregor;Natalie Portman;Hayden Christensen;Ian McDiarmid;Samuel L. Jackson,George Lucas,George Lucas,Action;Adventure;Fantasy;Sci-Fi,elongated cry of no;vision;robotic midwife;friends become enemies;kicked in the butt,PG-13,English,$113000000,$848754768,$108435841,Lucasfilm,USA,Revenge of the Sith,Star Wars: Episode I - The Phantom Menace,Liam Neeson;Ewan McGregor;Natalie Portman;Jake Lloyd;Ian McDiarmid,George Lucas,George Lucas,Adventure;Action;Science Fiction,prophecy;senate;queen;taskmaster;galaxy;apprentice;taxes;space opera,PG,English,$115000000.00,$924317558.00,,,,
1,1,a117,b1020,Back to the Future,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover;Thomas F. Wilson,Robert Zemeckis,Robert Zemeckis;Bob Gale,Adventure;Comedy;Sci-Fi,time travel;delorean;time travel comedy;time machine;future,PG,English,$19000000,$381109762,$11332134,Universal Pictures;Amblin Entertainment;U-Drive Productions,USA,Volver al futuro,Back to the Future Part III,Michael J. Fox;Christopher Lloyd;Mary Steenburgen;Thomas F. Wilson;Lea Thompson,Robert Zemeckis,Bob Gale;Bob Gale;Robert Zemeckis,Adventure;Comedy;Family;Science Fiction,railroad robber;california;delorean;indian territory;sports car;inventor;locomotive;saloon;horseback riding;time travel;outlaw;sequel;mad scientist;native american;western;shootout;gunfight;train;wild west;cavalry,PG,English,$40000000.00,$244527583.00,,,,
2,2,a156,b425,Star Trek,Chris Pine;Zachary Quinto;Leonard Nimoy;Eric Bana;Bruce Greenwood,J.J. Abrams,Roberto Orci;Alex Kurtzman,Action;Adventure;Sci-Fi,vulcan;future;based on tv series;lifted by the throat;star trek,PG-13,English,$150000000,$385680446,$72500000,Paramount Pictures;Spyglass Entertainment;Bad Robot,USA;Germany,Corporate HQ,Star Trek Into Darkness,Chris Pine;Zachary Quinto;Zoe Saldana;Karl Urban;Simon Pegg,J.J. Abrams,Damon Lindelof;Roberto Orci;Alex Kurtzman,Action;Adventure;Science Fiction,spacecraft;friendship;sequel;futuristic;space;alien;imax;space opera;terrorist bombing;3d,PG-13,English,$190000000.00,$467365246.00,,,,
3,3,a117,b5341,Back to the Future,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover;Thomas F. Wilson,Robert Zemeckis,Robert Zemeckis;Bob Gale,Adventure;Comedy;Sci-Fi,time travel;delorean;time travel comedy;time machine;future,PG,English,$19000000,$381109762,$11332134,Universal Pictures;Amblin Entertainment;U-Drive Productions,USA,Volver al futuro,Back to the Future Part II,Michael J. Fox;Christopher Lloyd;Lea Thompson;Elisabeth Shue;James Tolkan,Robert Zemeckis,Bob Gale;Bob Gale;Robert Zemeckis,Adventure;Comedy;Family;Science Fiction,skateboarding;flying car;car race;delorean;lightning;almanac;inventor;time travel;sequel;diner;alternate history;teenager;electric guitar;walking cane;high school dance;hoverboard;video phone,PG,English,$40000000.00,$332000000.00,,,,
4,4,a1093,b5037,The Meaning of Life,Graham Chapman;John Cleese;Terry Gilliam;Eric Idle;Terry Jones,Terry Jones;Terry Gilliam,Graham Chapman;John Cleese,Comedy;Musical,death character;monty python;meaning of life;sperm;grim reaper,R,English,$9000000,,$1987000,Celandine Films;The Monty Python Partnership;Universal Pictures,UK,Monty Python's The Meaning of Life,Monty Python and the Holy Grail,Graham Chapman;John Cleese;Terry Gilliam;Eric Idle;Terry Jones,Terry Jones;Terry Gilliam,Terry Jones;Terry Gilliam;John Cleese;Eric Idle;Graham Chapman;Michael Palin,Adventure;Comedy;Fantasy,holy grail;monk;england;scotland yard;swordplay;camelot;round table;chapter;animal attack;knight;king arthur;wedding reception;midnight movie;cult film;monty python;knights of the round table;anarchic comedy,PG,English,$400000.00,$5028948.00,,,,
5,5,a162,b49,Kill Bill: Vol. 1,Uma Thurman;Lucy Liu;Vivica A. Fox;Daryl Hannah;David Carradine,Quentin Tarantino,Quentin Tarantino;Quentin Tarantino,Action;Crime;Thriller,bride;revenge;sword;japan;martial arts,R,English;Japanese;French,$30000000,$180949045,$22089322,Miramax;A Band Apart;Super Cool ManChu,USA;Japan,Kill Bill,Kill Bill: Vol. 2,Uma Thurman;David Carradine;Daryl Hannah;Michael Madsen;Gordon Liu Chia-Hui,Quentin Tarantino,Quentin Tarantino,Action;Crime;Thriller,sibling relationship;swordplay;katana;mother role;rage and hate;daughter;right and justice;single;aftercreditsstinger;duringcreditsstinger,R,English,$30000000.00,$152159461.00,,,,
6,6,a360,b5003,The Evil Dead,Bruce Campbell;Ellen Sandweiss;Richard DeManincor;Betsy Baker;Theresa Tilly,Sam Raimi,Sam Raimi,Horror,cult film;evil dead;necronomicon;supernatural rape;book of the dead,NC-17,English,,,,Renaissance Pictures,USA,Book of the Dead,Evil Dead II,Bruce Campbell;Sarah Berry;Dan Hicks;Kassie DePaiva;Denise Bixler,Sam Raimi,Sam Raimi;Scott Spiegel,Horror;Comedy;Fantasy,deer;blood splatter;tape recorder;chainsaw;spirit;violence;over the top;book of the dead;evil dead;eyeball;necronomicon;tarmac;meat cleaver,R,English,$3600000.00,$5923044.00,,,,
7,7,a250,b4452,Home Alone,Macaulay Culkin;Joe Pesci;Daniel Stern;John Heard;Roberts Blossom,Chris Columbus,John Hughes,Comedy;Family,christmas;home alone;child protagonist;burglary;booby trap,PG,English,$18000000,$533800000,$17081997,Hughes Entertainment;Twentieth Century Fox,USA,Mi pobre angelito,Home Alone 2: Lost in New York,Macaulay Culkin;Joe Pesci;Catherine O'Hara;Daniel Stern;John Heard,Chris Columbus,John Hughes,Comedy;Family;Adventure;Crime,holiday;new york;usa;burglar;sequel;little boy;new york city;home invasion;family;lost;precocious child;home alone;mischievous child;christmas;child rescue,PG,English,$18000000.00,$358991681.00,,,,
8,8,a524,b1933,Before Sunrise,Ethan Hawke;Julie Delpy;Andrea Eckert;Hanno Pöschl;Karl Bruckschwaiger,Richard Linklater,Richard Linklater;Kim Krizan,Drama;Romance,conversations;train;french;tourist;train encounter,R,English;German;French,$2500000,$17200000,$1423537,Castle Rock Entertainment;Detour Filmproduction;Filmhaus Wien Universa Filmproduktions,USA;Austria;Switzerland,Antes del amanecer,Before Sunset,Ethan Hawke;Julie Delpy;Vernon Dobtcheff;Louise Lemoine Torrès;Rodolphe Pauly,Richard Linklater,Richard Linklater;Richard Linklater;Kim Krizan;Julie Delpy;Ethan Hawke,Drama;Romance,paris;journalist;dialogue;talking;soulmates;walking;bookshop;love of one's life;author,R,English,$2700000.00,$15992615.00,,,,
9,9,a625,b277,Ghost in the Shell,Atsuko Tanaka;Akio Ôtsuka;Kôichi Yamadera;Yutaka Nakano;Tamio Ohki,Mamoru Oshii,Shirow Masamune;Kazunori Itô,Animation;Action;Crime;Drama;Mystery;Sci-Fi;Thriller,anime;cyborg;policewoman;hacker;philosophical,NOT RATED,Japanese,JPY 600000000,$583393,$2736,Kôdansha;Bandai Visual Company;Manga Entertainment,Japan;UK,Armored Riot Police,Ghost in the Shell 2: Innocence,Atsuko Tanaka;Akio Ohtsuka;Kouichi Yamadera;Tamio Ohki;Yutaka Nakano,Mamoru Oshii,Mamoru Oshii,Animation;Drama;Science Fiction,cyborg;android;japanese;future;elite unit;futuristic;sexual violence;cyberpunk;hong kong,PG-13,Japanese,-,$9789651.00,,,,
